#Turn	Emit_x
666	4.604519e-06
667	3.978175e-06
668	4.840215e-06
669	4.804221e-06
670	3.985101e-06
671	4.557691e-06
672	4.933574e-06
673	4.036458e-06
674	4.209176e-06
675	5.006101e-06
676	4.228626e-06
677	3.980391e-06
678	5.009288e-06
679	4.547573e-06
680	3.935154e-06
681	4.834826e-06
682	4.837951e-06
683	3.974336e-06
684	4.418402e-06
685	5.005829e-06
686	4.144105e-06
687	4.012817e-06
688	5.037110e-06
689	4.514821e-06
690	3.909098e-06
691	4.824645e-06
692	4.874705e-06
693	3.986614e-06
694	4.292054e-06
695	5.051509e-06
696	4.279104e-06
697	3.913225e-06
698	4.981115e-06
699	4.736104e-06
700	3.930492e-06
701	4.493545e-06
702	5.035377e-06
703	4.185360e-06
704	3.939277e-06
705	5.023843e-06
706	4.686120e-06
707	3.912132e-06
708	4.528075e-06
709	5.043220e-06
710	4.198748e-06
711	3.915236e-06
712	5.010558e-06
713	4.743587e-06
714	3.928696e-06
715	4.398601e-06
716	5.078259e-06
717	4.314861e-06
718	3.862740e-06
719	4.915589e-06
720	4.885074e-06
721	4.004960e-06
722	4.130313e-06
723	5.091164e-06
724	4.538093e-06
725	3.865759e-06
726	4.649683e-06
727	5.042805e-06
728	4.196118e-06
729	3.884890e-06
730	4.992503e-06
731	4.824791e-06
732	3.972196e-06
733	4.185270e-06
734	5.101001e-06
735	4.526329e-06
736	3.858743e-06
737	4.633110e-06
738	5.059245e-06
739	4.234687e-06
740	3.858076e-06
741	4.952623e-06
742	4.887553e-06
743	4.017814e-06
744	4.065831e-06
745	5.088772e-06
746	4.634796e-06
747	3.888559e-06
748	4.457546e-06
749	5.096221e-06
750	4.359375e-06
751	3.836016e-06
752	4.827361e-06
753	4.986144e-06
754	4.113151e-06
755	3.931469e-06
756	5.039832e-06
757	4.766734e-06
758	3.943589e-06
759	4.255428e-06
760	5.105156e-06
761	4.485579e-06
762	3.850389e-06
763	4.685095e-06
764	5.041611e-06
765	4.195099e-06
766	3.880506e-06
767	4.988655e-06
768	4.832301e-06
769	3.976380e-06
770	4.180226e-06
771	5.097847e-06
772	4.514870e-06
773	3.860768e-06
774	4.675467e-06
775	5.030901e-06
776	4.170382e-06
777	3.910597e-06
778	5.015387e-06
779	4.764588e-06
780	3.938081e-06
781	4.336797e-06
782	5.086261e-06
783	4.361770e-06
784	3.862039e-06
785	4.879613e-06
786	4.899489e-06
787	4.010202e-06
788	4.148566e-06
789	5.081574e-06
790	4.471011e-06
791	3.873376e-06
792	4.794424e-06
793	4.937211e-06
794	4.036248e-06
795	4.115311e-06
796	5.071556e-06
797	4.467154e-06
798	3.884745e-06
799	4.824934e-06
800	4.897564e-06
801	4.001654e-06
802	4.221377e-06
803	5.060384e-06
